Prandtl Centre
   0.9983900      0.1595000E-01
   0.9904298      0.1573989E-01
   0.9795987      0.1592983E-01
   0.9673517      0.1630629E-01
   0.9542055      0.1697074E-01
   0.9407476      0.1795961E-01
   0.9271299      0.1933317E-01
   0.9132415      0.2110021E-01
   0.8990078      0.2322328E-01
   0.8843804      0.2564993E-01
   0.8693535      0.2831303E-01
   0.8540464      0.3112740E-01
   0.8386234      0.3404432E-01
   0.8231689      0.3703712E-01
   0.8076684      0.4008409E-01
   0.7920747      0.4313231E-01
   0.7763998      0.4616865E-01
   0.7607182      0.4918980E-01
   0.7450739      0.5217680E-01
   0.7294336      0.5512811E-01
   0.7137806      0.5804994E-01
   0.6981404      0.6093662E-01
   0.6825211      0.6378076E-01
   0.6669088      0.6658159E-01
   0.6513083      0.6933705E-01
   0.6357406      0.7203784E-01
   0.6202127      0.7467383E-01
   0.6047198      0.7723787E-01
   0.5892653      0.7972209E-01
   0.5738610      0.8211489E-01
   0.5585159      0.8440312E-01
   0.5432329      0.8657405E-01
   0.5280097      0.8861508E-01
   0.5128401      0.9051509E-01
   0.4977191      0.9226408E-01
   0.4826405      0.9385278E-01
   0.4675986      0.9527352E-01
   0.4525855      0.9651943E-01
   0.4375969      0.9758688E-01
   0.4226416      0.9847137E-01
   0.4077302      0.9916313E-01
   0.3928530      0.9965118E-01
   0.3779862      0.9993419E-01
   0.3631351      0.1000162    
   0.3483287      0.9989278E-01
   0.3335721      0.9955085E-01
   0.3188378      0.9898304E-01
   0.3041109      0.9819194E-01
   0.2893914      0.9717986E-01
   0.2746811      0.9594741E-01
   0.2599786      0.9449659E-01
   0.2452970      0.9283479E-01
   0.2306759      0.9096599E-01
   0.2161375      0.8887988E-01
   0.2016736      0.8656796E-01
   0.1872982      0.8403448E-01
   0.1730534      0.8127741E-01
   0.1589533      0.7828038E-01
   0.1450028      0.7504114E-01
   0.1312669      0.7157120E-01
   0.1178184      0.6785996E-01
   0.1046935      0.6388781E-01
   0.9192320E-01  0.5964358E-01
   0.7959163E-01  0.5516663E-01
   0.6792367E-01  0.5055648E-01
   0.5722341E-01  0.4591270E-01
   0.4761534E-01  0.4111763E-01
   0.3890697E-01  0.3623497E-01
   0.3132733E-01  0.3187336E-01
   0.2515461E-01  0.2808980E-01
   0.2021856E-01  0.2462729E-01
   0.1626946E-01  0.2130964E-01
   0.1306697E-01  0.1811121E-01
   0.1039080E-01  0.1514114E-01
   0.8098082E-02  0.1246930E-01
   0.6114399E-02  0.1009462E-01
   0.4390600E-02  0.7977668E-02
   0.2887127E-02  0.6075340E-02
   0.1597956E-02  0.4327910E-02
   0.5724496E-03  0.2651061E-02
   0.5328075E-04  0.9260306E-03
   0.2742634E-04 -0.7832025E-03
   0.2567328E-03 -0.2522466E-02
   0.7164443E-03 -0.4304541E-02
   0.1530189E-02 -0.6054712E-02
   0.2842277E-02 -0.7634552E-02
   0.4578711E-02 -0.9039762E-02
   0.6621611E-02 -0.1040747E-01
   0.9002882E-02 -0.1174653E-01
   0.1179599E-01 -0.1303801E-01
   0.1508098E-01 -0.1432113E-01
   0.1895341E-01 -0.1567412E-01
   0.2353620E-01 -0.1713221E-01
   0.2897798E-01 -0.1865844E-01
   0.3544793E-01 -0.2014024E-01
   0.4321781E-01 -0.2138068E-01
   0.5271525E-01 -0.2250396E-01
   0.6383117E-01 -0.2375302E-01
   0.7609037E-01 -0.2476913E-01
   0.8943791E-01 -0.2548212E-01
   0.1036625     -0.2599000E-01
   0.1184048     -0.2633316E-01
   0.1333773     -0.2650909E-01
   0.1485298     -0.2652283E-01
   0.1638954     -0.2639508E-01
   0.1794384     -0.2616567E-01
   0.1950407     -0.2585324E-01
   0.2106935     -0.2545644E-01
   0.2264352     -0.2498889E-01
   0.2422320     -0.2446567E-01
   0.2580664     -0.2389179E-01
   0.2739656     -0.2327545E-01
   0.2899060     -0.2263133E-01
   0.3058346     -0.2196200E-01
   0.3217767     -0.2126104E-01
   0.3377835     -0.2053790E-01
   0.3538237     -0.1980956E-01
   0.3698415     -0.1907470E-01
   0.3858530     -0.1832531E-01
   0.4018944     -0.1756631E-01
   0.4179542     -0.1680758E-01
   0.4340081     -0.1605419E-01
   0.4500633     -0.1530731E-01
   0.4661308     -0.1456402E-01
   0.4821919     -0.1382307E-01
   0.4982250     -0.1309038E-01
   0.5142387     -0.1237163E-01
   0.5302531     -0.1166659E-01
   0.5462727     -0.1097409E-01
   0.5622914     -0.1029475E-01
   0.5783047     -0.9629626E-02
   0.5943112     -0.8979636E-02
   0.6103125     -0.8345532E-02
   0.6263101     -0.7727791E-02
   0.6423008     -0.7127217E-02
   0.6582777     -0.6546774E-02
   0.6742335     -0.5989979E-02
   0.6901756     -0.5457896E-02
   0.7061383     -0.4948066E-02
   0.7220896     -0.4450454E-02
   0.7378420     -0.3971256E-02
   0.7532258     -0.3561227E-02
   0.7681616     -0.3200452E-02
   0.7823649     -0.2742793E-02
   0.7954761     -0.2320166E-02
   0.8075498     -0.2317778E-02
   0.8196228     -0.1963049E-02
   0.8334436     -0.1280564E-02
   0.8480168     -0.5528792E-03
   0.8629992      0.3109078E-03
   0.8782091      0.1278678E-02
   0.8931782      0.2362072E-02
   0.9078043      0.3629641E-02
   0.9222359      0.5142279E-02
   0.9366180      0.6934868E-02
   0.9511728      0.8983540E-02
   0.9654662      0.1104684E-01
   0.9787300      0.1294660E-01
   0.9902104      0.1465710E-01
   0.9983900      0.1595000E-01
