Prandtl Tip
    1.000000      0.7000000E-03
   0.9921172      0.1437093E-02
   0.9816194      0.2406820E-02
   0.9694297      0.3515787E-02
   0.9558982      0.4725884E-02
   0.9419678      0.5972613E-02
   0.9279616      0.7244715E-02
   0.9139329      0.8521484E-02
   0.8999029      0.9797112E-02
   0.8858727      0.1107095E-01
   0.8718439      0.1234112E-01
   0.8578187      0.1360523E-01
   0.8437992      0.1486091E-01
   0.8297867      0.1610574E-01
   0.8157790      0.1733745E-01
   0.8017686      0.1855442E-01
   0.7877516      0.1975854E-01
   0.7737355      0.2095005E-01
   0.7597184      0.2212865E-01
   0.7456984      0.2329491E-01
   0.7316763      0.2444912E-01
   0.7176547      0.2559100E-01
   0.7036315      0.2672022E-01
   0.6896063      0.2783757E-01
   0.6755813      0.2894271E-01
   0.6615568      0.3003585E-01
   0.6475462      0.3111147E-01
   0.6335495      0.3216492E-01
   0.6195496      0.3319512E-01
   0.6055233      0.3420612E-01
   0.5915051      0.3520284E-01
   0.5775009      0.3617361E-01
   0.5634876      0.3711988E-01
   0.5494735      0.3804227E-01
   0.5354689      0.3893583E-01
   0.5214609      0.3979837E-01
   0.5074470      0.4063110E-01
   0.4934418      0.4143246E-01
   0.4794409      0.4219648E-01
   0.4654399      0.4292315E-01
   0.4514396      0.4361065E-01
   0.4374357      0.4425908E-01
   0.4234319      0.4486830E-01
   0.4094349      0.4543540E-01
   0.3954425      0.4595595E-01
   0.3814495      0.4642819E-01
   0.3674622      0.4685036E-01
   0.3534755      0.4721880E-01
   0.3394866      0.4753430E-01
   0.3255149      0.4779255E-01
   0.3115487      0.4798594E-01
   0.2975765      0.4811433E-01
   0.2836147      0.4817704E-01
   0.2696810      0.4816500E-01
   0.2557522      0.4806712E-01
   0.2418461      0.4788043E-01
   0.2279307      0.4759499E-01
   0.2140526      0.4721564E-01
   0.2001906      0.4671875E-01
   0.1863582      0.4610024E-01
   0.1725939      0.4534440E-01
   0.1588782      0.4443231E-01
   0.1451553      0.4334735E-01
   0.1315363      0.4208892E-01
   0.1179356      0.4060488E-01
   0.1044989      0.3891576E-01
   0.9136030E-01  0.3689880E-01
   0.7859819E-01  0.3465910E-01
   0.6741824E-01  0.3260737E-01
   0.5489868E-01  0.2923255E-01
   0.4219736E-01  0.2568973E-01
   0.3142512E-01  0.2252448E-01
   0.2432207E-01  0.1938990E-01
   0.1674286E-01  0.1600644E-01
   0.1041668E-01  0.1204269E-01
   0.6003934E-02  0.8979895E-02
   0.3457860E-02  0.6383161E-02
   0.1668579E-02  0.4252965E-02
   0.5775312E-03  0.2391744E-02
   0.5822157E-04  0.7183675E-03
   0.7577029E-04 -0.8228154E-03
   0.6296180E-03 -0.2507711E-02
   0.1763062E-02 -0.4380942E-02
   0.3597807E-02 -0.6536309E-02
   0.6227197E-02 -0.9145945E-02
   0.1077223E-01 -0.1228166E-01
   0.1720195E-01 -0.1623926E-01
   0.2478040E-01 -0.1959453E-01
   0.3199986E-01 -0.2270620E-01
   0.4298492E-01 -0.2591281E-01
   0.5572359E-01 -0.2945794E-01
   0.6813593E-01 -0.3278698E-01
   0.7936235E-01 -0.3479603E-01
   0.9220081E-01 -0.3703933E-01
   0.1053464     -0.3903153E-01
   0.1188054     -0.4070543E-01
   0.1324038     -0.4217625E-01
   0.1460322     -0.4342159E-01
   0.1597552     -0.4449575E-01
   0.1734723     -0.4539720E-01
   0.1872410     -0.4614373E-01
   0.2010770     -0.4675402E-01
   0.2149389     -0.4724341E-01
   0.2288208     -0.4761574E-01
   0.2427349     -0.4789547E-01
   0.2566430     -0.4807592E-01
   0.2705715     -0.4816826E-01
   0.2845077     -0.4817504E-01
   0.2984720     -0.4810817E-01
   0.3124380     -0.4797608E-01
   0.3263933     -0.4777853E-01
   0.3403689     -0.4751550E-01
   0.3543561     -0.4720054E-01
   0.3683336     -0.4682565E-01
   0.3823289     -0.4640004E-01
   0.3963149     -0.4592516E-01
   0.4103062     -0.4540135E-01
   0.4243060     -0.4483139E-01
   0.4383101     -0.4421977E-01
   0.4523126     -0.4356895E-01
   0.4663124     -0.4287901E-01
   0.4803136     -0.4214994E-01
   0.4943143     -0.4138359E-01
   0.5083202     -0.4058006E-01
   0.5223344     -0.3974540E-01
   0.5363432     -0.3888089E-01
   0.5503485     -0.3798551E-01
   0.5643616     -0.3706105E-01
   0.5783796     -0.3611173E-01
   0.5923972     -0.3513943E-01
   0.6064146     -0.3414550E-01
   0.6204324     -0.3313082E-01
   0.6344460     -0.3209630E-01
   0.6484532     -0.3104168E-01
   0.6624632     -0.2996570E-01
   0.6764876     -0.2887164E-01
   0.6905125     -0.2776574E-01
   0.7045378     -0.2664760E-01
   0.7185612     -0.2551756E-01
   0.7325824     -0.2437490E-01
   0.7466047     -0.2321960E-01
   0.7606291     -0.2205174E-01
   0.7746547     -0.2087140E-01
   0.7886786     -0.1967885E-01
   0.8026956     -0.1847448E-01
   0.8167044     -0.1725616E-01
   0.8307179     -0.1602233E-01
   0.8447407     -0.1477648E-01
   0.8587595     -0.1352332E-01
   0.8727615     -0.1226343E-01
   0.8867623     -0.1099310E-01
   0.9007810     -0.9712225E-02
   0.9147866     -0.8436547E-02
   0.9287356     -0.7182024E-02
   0.9422966     -0.5914709E-02
   0.9550844     -0.4889790E-02
   0.9681139     -0.3420296E-02
   0.9809678     -0.1808434E-02
   0.9920042     -0.3715391E-03
    1.000000      0.7000000E-03
