NREL Manual
             x                       y                       z
  -1.15710e-02             4.99544e-02            -1.63081e-02
   7.02247e-03             5.00000e-02             1.87266e-02
   1.64368e-03             4.99513e-02             1.99228e-02
  -2.43484e-03             4.99174e-02             1.98421e-02
  -6.33101e-03             4.98876e-02             1.89655e-02
  -9.95130e-03             4.98624e-02             1.73480e-02
  -1.31602e-02             4.98428e-02             1.50529e-02
  -1.58552e-02             4.98292e-02             1.21762e-02
  -1.79340e-02             4.98224e-02             8.82904e-03
  -1.93173e-02             4.98224e-02             5.14023e-03
  -1.99520e-02             4.98292e-02             1.25151e-03
  -1.98130e-02             4.98428e-02            -2.68788e-03
  -1.89044e-02             4.98624e-02            -6.52705e-03
  -1.72404e-02             4.98876e-02            -1.01262e-02
  -1.48813e-02             4.99174e-02            -1.33485e-02
  -1.18615e-02             4.99513e-02            -1.60911e-02
  -7.02247e-03             5.00000e-02            -1.87266e-02
  -7.02247e-03             5.00000e-02            -1.87266e-02
  -1.64368e-03             5.00487e-02            -1.99228e-02
   2.43484e-03             5.00826e-02            -1.98421e-02
   6.33101e-03             5.01124e-02            -1.89655e-02
   9.95130e-03             5.01376e-02            -1.73480e-02
   1.31602e-02             5.01572e-02            -1.50529e-02
   1.58552e-02             5.01708e-02            -1.21762e-02
   1.79340e-02             5.01776e-02            -8.82904e-03
   1.93173e-02             5.01776e-02            -5.14023e-03
   1.99520e-02             5.01708e-02            -1.25151e-03
   1.98130e-02             5.01572e-02             2.68788e-03
   1.89044e-02             5.01376e-02             6.52705e-03
   1.72404e-02             5.01124e-02             1.01262e-02
   1.48813e-02             5.00826e-02             1.33485e-02
   1.18615e-02             5.00487e-02             1.60911e-02
   7.02247e-03             5.00000e-02             1.87266e-02
  -2.00531e-03             5.00456e-02            -1.98952e-02

  -3.00415e-02             1.11101e-01            -1.85654e-02
   6.63587e-02             1.11111e-01             5.13181e-02
   6.40773e-02             1.11109e-01             5.04725e-02
   5.93929e-02             1.11103e-01             4.90873e-02
   5.27560e-02             1.11095e-01             4.68624e-02
   4.47193e-02             1.11088e-01             4.34937e-02
   3.55645e-02             1.11081e-01             3.91464e-02
   2.57134e-02             1.11074e-01             3.38961e-02
   1.56305e-02             1.11070e-01             2.78320e-02
   5.78590e-03             1.11068e-01             2.10793e-02
  -3.41830e-03             1.11068e-01             1.38663e-02
  -1.16489e-02             1.11071e-01             6.49714e-03
  -1.86310e-02             1.11076e-01            -6.91063e-04
  -2.41159e-02             1.11083e-01            -7.39617e-03
  -2.79155e-02             1.11091e-01            -1.33310e-02
  -2.99287e-02             1.11100e-01            -1.82088e-02
  -2.97912e-02             1.11111e-01            -2.22173e-02
  -2.97912e-02             1.11111e-01            -2.22173e-02
  -2.49228e-02             1.11128e-01            -2.47542e-02
  -1.91374e-02             1.11140e-01            -2.48087e-02
  -1.21890e-02             1.11149e-01            -2.29911e-02
  -4.46418e-03             1.11155e-01            -1.92146e-02
   3.66462e-03             1.11156e-01            -1.35258e-02
   1.19608e-02             1.11154e-01            -6.24232e-03
   2.02075e-02             1.11148e-01             2.22265e-03
   2.82180e-02             1.11140e-01             1.13734e-02
   3.58606e-02             1.11131e-01             2.06283e-02
   4.30474e-02             1.11122e-01             2.93623e-02
   4.96720e-02             1.11115e-01             3.70179e-02
   5.56079e-02             1.11111e-01             4.31334e-02
   6.06417e-02             1.11110e-01             4.74545e-02
   6.43521e-02             1.11110e-01             5.01131e-02
   6.63587e-02             1.11111e-01             5.13181e-02
  -2.53579e-02             1.11127e-01            -2.46893e-02

  -3.33834e-02             1.72231e-01            -1.17747e-02
   7.59397e-02             1.72222e-01             3.61057e-02
   7.35248e-02             1.72224e-01             3.57642e-02
   6.86415e-02             1.72229e-01             3.54068e-02
   6.16665e-02             1.72235e-01             3.46435e-02
   5.30767e-02             1.72241e-01             3.30585e-02
   4.31830e-02             1.72247e-01             3.07537e-02
   3.24147e-02             1.72252e-01             2.77130e-02
   2.12459e-02             1.72255e-01             2.39246e-02
   1.01634e-02             1.72257e-01             1.94111e-02
  -3.89936e-04             1.72257e-01             1.43101e-02
  -1.00231e-02             1.72254e-01             8.84836e-03
  -1.83948e-02             1.72250e-01             3.29759e-03
  -2.51972e-02             1.72245e-01            -2.09941e-03
  -3.01846e-02             1.72238e-01            -7.10155e-03
  -3.31969e-02             1.72231e-01            -1.14494e-02
  -3.39172e-02             1.72222e-01            -1.54047e-02
  -3.39172e-02             1.72222e-01            -1.54047e-02
  -2.96903e-02             1.72209e-01            -1.89279e-02
  -2.40356e-02             1.72199e-01            -2.02155e-02
  -1.68425e-02             1.72191e-01            -1.99175e-02
  -8.47115e-03             1.72187e-01            -1.78667e-02
   7.03831e-04             1.72186e-01            -1.40291e-02
   1.03829e-02             1.72188e-01            -8.66531e-03
   2.02656e-02             1.72192e-01            -2.13384e-03
   3.00632e-02             1.72199e-01             5.11972e-03
   3.95227e-02             1.72206e-01             1.25537e-02
   4.84247e-02             1.72213e-01             1.95747e-02
   5.65460e-02             1.72219e-01             2.56596e-02
   6.36643e-02             1.72222e-01             3.03828e-02
   6.95162e-02             1.72223e-01             3.35412e-02
   7.37174e-02             1.72223e-01             3.53536e-02
   7.59397e-02             1.72222e-01             3.61057e-02
  -3.01026e-02             1.72209e-01            -1.87716e-02

  -3.32170e-02             2.33344e-01            -8.28937e-03
   7.09903e-02             2.33333e-01             2.49951e-02
   6.87542e-02             2.33336e-01             2.49271e-02
   6.42655e-02             2.33342e-01             2.50863e-02
   5.78358e-02             2.33350e-01             2.50526e-02
   4.98593e-02             2.33358e-01             2.44057e-02
   4.06283e-02             2.33365e-01             2.32120e-02
   3.05333e-02             2.33371e-01             2.14128e-02
   2.00050e-02             2.33376e-01             1.89527e-02
   9.48338e-03             2.33378e-01             1.58381e-02
  -6.18075e-04             2.33377e-01             1.21681e-02
  -9.92218e-03             2.33374e-01             8.11763e-03
  -1.80890e-02             2.33369e-01             3.88641e-03
  -2.48132e-02             2.33362e-01            -3.41664e-04
  -2.98467e-02             2.33354e-01            -4.37629e-03
  -3.30178e-02             2.33345e-01            -8.00126e-03
  -3.40694e-02             2.33333e-01            -1.14497e-02
  -3.40694e-02             2.33333e-01            -1.14497e-02
  -3.06198e-02             2.33317e-01            -1.47183e-02
  -2.56266e-02             2.33305e-01            -1.62342e-02
  -1.90715e-02             2.33296e-01            -1.64943e-02
  -1.12605e-02             2.33290e-01            -1.53442e-02
  -2.52586e-03             2.33288e-01            -1.27486e-02
   6.83067e-03             2.33291e-01            -8.89620e-03
   1.64961e-02             2.33296e-01            -4.05986e-03
   2.61565e-02             2.33304e-01             1.42487e-03
   3.55145e-02             2.33313e-01             7.16586e-03
   4.43102e-02             2.33322e-01             1.26613e-02
   5.22994e-02             2.33329e-01             1.74057e-02
   5.92439e-02             2.33334e-01             2.10063e-02
   6.48841e-02             2.33335e-01             2.33036e-02
   6.88909e-02             2.33334e-01             2.45318e-02
   7.09903e-02             2.33333e-01             2.49951e-02
  -3.09777e-02             2.33318e-01            -1.45517e-02

  -3.28010e-02             2.94452e-01            -5.90911e-03
   6.33693e-02             2.94444e-01             1.54876e-02
   6.13538e-02             2.94447e-01             1.56287e-02
   5.73348e-02             2.94452e-01             1.61670e-02
   5.15672e-02             2.94458e-01             1.66599e-02
   4.43684e-02             2.94464e-01             1.67038e-02
   3.60050e-02             2.94470e-01             1.63389e-02
   2.68232e-02             2.94475e-01             1.54761e-02
   1.72047e-02             2.94478e-01             1.40310e-02
   7.53284e-03             2.94479e-01             1.20195e-02
  -1.81886e-03             2.94479e-01             9.51876e-03
  -1.04998e-02             2.94476e-01             6.66245e-03
  -1.81831e-02             2.94472e-01             3.58029e-03
  -2.45770e-02             2.94467e-01             4.00540e-04
  -2.94411e-02             2.94460e-01            -2.73502e-03
  -3.26019e-02             2.94453e-01            -5.65365e-03
  -3.38608e-02             2.94444e-01            -8.53486e-03
  -3.38608e-02             2.94444e-01            -8.53486e-03
  -3.11603e-02             2.94433e-01            -1.12578e-02
  -2.68779e-02             2.94424e-01            -1.27470e-02
  -2.10759e-02             2.94417e-01            -1.32991e-02
  -1.40047e-02             2.94413e-01            -1.27961e-02
  -5.94793e-03             2.94412e-01            -1.12238e-02
   2.80090e-03             2.94413e-01            -8.69785e-03
   1.19296e-02             2.94417e-01            -5.40151e-03
   2.11137e-02             2.94422e-01            -1.54871e-03
   3.00266e-02             2.94429e-01             2.64340e-03
   3.83871e-02             2.94436e-01             6.77180e-03
   4.59526e-02             2.94442e-01             1.03322e-02
   5.24863e-02             2.94445e-01             1.29549e-02
   5.77421e-02             2.94446e-01             1.45192e-02
   6.14448e-02             2.94445e-01             1.52592e-02
   6.33693e-02             2.94444e-01             1.54876e-02
  -3.14621e-02             2.94434e-01            -1.11006e-02

  -3.04730e-02             3.55561e-01            -3.85044e-03
   5.57205e-02             3.55556e-01             9.00432e-03
   5.39480e-02             3.55557e-01             9.26555e-03
   5.04314e-02             3.55560e-01             1.00081e-02
   4.53746e-02             3.55565e-01             1.08051e-02
   3.90309e-02             3.55569e-01             1.12830e-02
   3.16372e-02             3.55572e-01             1.14629e-02
   2.34942e-02             3.55575e-01             1.12422e-02
   1.49332e-02             3.55577e-01             1.05226e-02
   6.28564e-03             3.55578e-01             9.31727e-03
  -2.11770e-03             3.55577e-01             7.68191e-03
  -9.96029e-03             3.55576e-01             5.71641e-03
  -1.69420e-02             3.55573e-01             3.50360e-03
  -2.27952e-02             3.55570e-01             1.13235e-03
  -2.72974e-02             3.55566e-01            -1.29174e-03
  -3.02834e-02             3.55561e-01            -3.63081e-03
  -3.15978e-02             3.55556e-01            -6.03012e-03
  -3.15978e-02             3.55556e-01            -6.03012e-03
  -2.94701e-02             3.55549e-01            -8.35418e-03
  -2.58330e-02             3.55544e-01            -9.79672e-03
  -2.07856e-02             3.55539e-01            -1.05392e-02
  -1.45335e-02             3.55537e-01            -1.04849e-02
  -7.31862e-03             3.55536e-01            -9.62609e-03
   5.87852e-04             3.55537e-01            -8.03164e-03
   8.89288e-03             3.55538e-01            -5.82533e-03
   1.72863e-02             3.55542e-01            -3.14441e-03
   2.54478e-02             3.55546e-01            -1.04058e-04
   3.30993e-02             3.55550e-01             2.97089e-03
   4.00068e-02             3.55554e-01             5.61486e-03
   4.59441e-02             3.55556e-01             7.49787e-03
   5.06861e-02             3.55557e-01             8.52933e-03
   5.40054e-02             3.55556e-01             8.93184e-03
   5.57205e-02             3.55556e-01             9.00432e-03
  -2.97228e-02             3.55549e-01            -8.20729e-03

  -2.62330e-02             4.16668e-01            -2.11337e-03
   4.80438e-02             4.16667e-01             5.54520e-03
   4.65367e-02             4.16667e-01             5.83758e-03
   4.35555e-02             4.16668e-01             6.60966e-03
   3.92580e-02             4.16669e-01             7.48801e-03
   3.38466e-02             4.16671e-01             8.14325e-03
   2.75249e-02             4.16672e-01             8.58419e-03
   2.05462e-02             4.16673e-01             8.71123e-03
   1.31905e-02             4.16673e-01             8.42749e-03
   5.74177e-03             4.16674e-01             7.73130e-03
  -1.51458e-03             4.16673e-01             6.65758e-03
  -8.30377e-03             4.16673e-01             5.27950e-03
  -1.43657e-02             4.16672e-01             3.65635e-03
  -1.94678e-02             4.16671e-01             1.85378e-03
  -2.34156e-02             4.16670e-01            -4.64522e-05
  -2.60622e-02             4.16668e-01            -1.93273e-03
  -2.72804e-02             4.16667e-01            -3.93544e-03
  -2.72804e-02             4.16667e-01            -3.93544e-03
  -2.55493e-02             4.16665e-01            -6.00730e-03
  -2.24921e-02             4.16663e-01            -7.38319e-03
  -1.82005e-02             4.16662e-01            -8.21461e-03
  -1.28469e-02             4.16661e-01            -8.41075e-03
  -6.63795e-03             4.16661e-01            -7.95555e-03
   1.91527e-04             4.16661e-01            -6.89756e-03
   7.38589e-03             4.16661e-01            -5.33132e-03
   1.46744e-02             4.16662e-01            -3.36226e-03
   2.17782e-02             4.16664e-01            -1.07652e-03
   2.84469e-02             4.16665e-01             1.25860e-03
   3.44620e-02             4.16666e-01             3.25370e-03
   3.96171e-02             4.16667e-01             4.63509e-03
   4.37161e-02             4.16667e-01             5.33398e-03
   4.65730e-02             4.16667e-01             5.54971e-03
   4.80438e-02             4.16667e-01             5.54520e-03
  -2.57599e-02             4.16665e-01            -5.87177e-03

  -2.18356e-02             4.77777e-01            -7.84072e-04
   4.01725e-02             4.77778e-01             2.75724e-03
   3.89321e-02             4.77778e-01             3.04935e-03
   3.64855e-02             4.77777e-01             3.78917e-03
   3.29490e-02             4.77776e-01             4.67054e-03
   2.84780e-02             4.77775e-01             5.41545e-03
   2.32423e-02             4.77775e-01             6.02059e-03
   1.74486e-02             4.77774e-01             6.39203e-03
   1.13257e-02             4.77774e-01             6.43859e-03
   5.10978e-03             4.77774e-01             6.14718e-03
  -9.60679e-04             4.77774e-01             5.53442e-03
  -6.65462e-03             4.77774e-01             4.65170e-03
  -1.17537e-02             4.77775e-01             3.53870e-03
  -1.60622e-02             4.77775e-01             2.24104e-03
  -1.94153e-02             4.77776e-01             8.19008e-04
  -2.16867e-02             4.77777e-01            -6.40886e-04
  -2.27760e-02             4.77778e-01            -2.24811e-03
  -2.27760e-02             4.77778e-01            -2.24811e-03
  -2.14191e-02             4.77779e-01            -4.00053e-03
  -1.89332e-02             4.77780e-01            -5.23401e-03
  -1.54004e-02             4.77781e-01            -6.06860e-03
  -1.09603e-02             4.77781e-01            -6.42480e-03
  -5.78397e-03             4.77781e-01            -6.28270e-03
  -6.83133e-05             4.77781e-01            -5.67366e-03
   5.97055e-03             4.77781e-01            -4.66547e-03
   1.21036e-02             4.77780e-01            -3.33467e-03
   1.80958e-02             4.77780e-01            -1.74242e-03
   2.37284e-02             4.77779e-01            -9.17248e-05
   2.88038e-02             4.77778e-01             1.31799e-03
   3.31393e-02             4.77778e-01             2.27612e-03
   3.65704e-02             4.77778e-01             2.72059e-03
   3.89512e-02             4.77778e-01             2.80823e-03
   4.01725e-02             4.77778e-01             2.75724e-03
  -2.15888e-02             4.77779e-01            -3.88271e-03
  -2.18356e-02             4.77777e-01            -7.84072e-04
   4.01725e-02             4.77778e-01             2.75724e-03
   3.89321e-02             4.77778e-01             3.04935e-03
   3.64855e-02             4.77777e-01             3.78917e-03
   3.29490e-02             4.77776e-01             4.67054e-03
   2.84780e-02             4.77775e-01             5.41545e-03
   2.32423e-02             4.77775e-01             6.02059e-03
   1.74486e-02             4.77774e-01             6.39203e-03
   1.13257e-02             4.77774e-01             6.43859e-03
   5.10978e-03             4.77774e-01             6.14718e-03
  -9.60679e-04             4.77774e-01             5.53442e-03
  -6.65462e-03             4.77774e-01             4.65170e-03
  -1.17537e-02             4.77775e-01             3.53870e-03
  -1.60622e-02             4.77775e-01             2.24104e-03
  -1.94153e-02             4.77776e-01             8.19008e-04
  -2.16867e-02             4.77777e-01            -6.40886e-04
  -2.27760e-02             4.77778e-01            -2.24811e-03
  -2.27760e-02             4.77778e-01            -2.24811e-03
  -2.14191e-02             4.77779e-01            -4.00053e-03
  -1.89332e-02             4.77780e-01            -5.23401e-03
  -1.54004e-02             4.77781e-01            -6.06860e-03
  -1.09603e-02             4.77781e-01            -6.42480e-03
  -5.78397e-03             4.77781e-01            -6.28270e-03
  -6.83133e-05             4.77781e-01            -5.67366e-03
   5.97055e-03             4.77781e-01            -4.66547e-03
   1.21036e-02             4.77780e-01            -3.33467e-03
   1.80958e-02             4.77780e-01            -1.74242e-03
   2.37284e-02             4.77779e-01            -9.17248e-05
   2.88038e-02             4.77778e-01             1.31799e-03
   3.31393e-02             4.77778e-01             2.27612e-03
   3.65704e-02             4.77778e-01             2.72059e-03
   3.89512e-02             4.77778e-01             2.80823e-03
   4.01725e-02             4.77778e-01             2.75724e-03
  -2.15888e-02             4.77779e-01            -3.88271e-03

  -1.69659e-02             5.38888e-01            -6.78087e-04
   3.17177e-02             5.38889e-01             1.98275e-03
   3.07472e-02             5.38889e-01             2.18035e-03
   2.88331e-02             5.38888e-01             2.70263e-03
   2.60629e-02             5.38888e-01             3.35181e-03
   2.25567e-02             5.38888e-01             3.92342e-03
   1.84488e-02             5.38887e-01             4.40247e-03
   1.39017e-02             5.38887e-01             4.70817e-03
   9.09464e-03             5.38887e-01             4.76842e-03
   4.21339e-03             5.38887e-01             4.56862e-03
  -5.54415e-04             5.38887e-01             4.11476e-03
  -5.02757e-03             5.38887e-01             3.45118e-03
  -9.03466e-03             5.38887e-01             2.60986e-03
  -1.24219e-02             5.38888e-01             1.62585e-03
  -1.50597e-02             5.38888e-01             5.44976e-04
  -1.68485e-02             5.38888e-01            -5.67731e-04
  -1.77109e-02             5.38889e-01            -1.78285e-03
  -1.77109e-02             5.38889e-01            -1.78285e-03
  -1.66608e-02             5.38890e-01            -3.01406e-03
  -1.47203e-02             5.38890e-01            -3.87786e-03
  -1.19551e-02             5.38890e-01            -4.45845e-03
  -8.47373e-03             5.38891e-01            -4.70362e-03
  -4.41004e-03             5.38891e-01            -4.60289e-03
   8.13003e-05             5.38891e-01            -4.18028e-03
   4.83017e-03             5.38891e-01            -3.48413e-03
   9.65633e-03             5.38890e-01            -2.57083e-03
   1.43753e-02             5.38890e-01            -1.48863e-03
   1.88118e-02             5.38889e-01            -3.56163e-04
   2.28052e-02             5.38889e-01             6.58631e-04
   2.62091e-02             5.38889e-01             1.42852e-03
   2.88978e-02             5.38889e-01             1.85305e-03
   3.07618e-02             5.38889e-01             1.98869e-03
   3.17177e-02             5.38889e-01             1.98275e-03
  -1.67928e-02             5.38889e-01            -2.93306e-03
  -1.69659e-02             5.38888e-01            -6.78087e-04
   3.17177e-02             5.38889e-01             1.98275e-03
   3.07472e-02             5.38889e-01             2.18035e-03
   2.88331e-02             5.38888e-01             2.70263e-03
   2.60629e-02             5.38888e-01             3.35181e-03
   2.25567e-02             5.38888e-01             3.92342e-03
   1.84488e-02             5.38887e-01             4.40247e-03
   1.39017e-02             5.38887e-01             4.70817e-03
   9.09464e-03             5.38887e-01             4.76842e-03
   4.21339e-03             5.38887e-01             4.56862e-03
  -5.54415e-04             5.38887e-01             4.11476e-03
  -5.02757e-03             5.38887e-01             3.45118e-03
  -9.03466e-03             5.38887e-01             2.60986e-03
  -1.24219e-02             5.38888e-01             1.62585e-03
  -1.50597e-02             5.38888e-01             5.44976e-04
  -1.68485e-02             5.38888e-01            -5.67731e-04
  -1.77109e-02             5.38889e-01            -1.78285e-03
  -1.77109e-02             5.38889e-01            -1.78285e-03
  -1.66608e-02             5.38890e-01            -3.01406e-03
  -1.47203e-02             5.38890e-01            -3.87786e-03
  -1.19551e-02             5.38890e-01            -4.45845e-03
  -8.47373e-03             5.38891e-01            -4.70362e-03
  -4.41004e-03             5.38891e-01            -4.60289e-03
   8.13003e-05             5.38891e-01            -4.18028e-03
   4.83017e-03             5.38891e-01            -3.48413e-03
   9.65633e-03             5.38890e-01            -2.57083e-03
   1.43753e-02             5.38890e-01            -1.48863e-03
   1.88118e-02             5.38889e-01            -3.56163e-04
   2.28052e-02             5.38889e-01             6.58631e-04
   2.62091e-02             5.38889e-01             1.42852e-03
   2.88978e-02             5.38889e-01             1.85305e-03
   3.07618e-02             5.38889e-01             1.98869e-03
